Ticker,Date,RSI,Upper Band,Lower Band,Latest Close,RSI signal,Bollinger signal
AMZN,2024-09-27,71.18299411249214,195.88677485862175,187.24751556409032,187.97000122070312,Sell,Hold
V,2024-09-27,38.253865682926445,293.67537215123195,262.8703431807993,275.1700134277344,Hold,Hold
MA,2024-09-27,57.70408386690587,498.35092915446546,485.837652039731,493.6400146484375,Hold,Hold
HD,2024-09-27,88.95760680796798,403.9495104679213,386.3304839517216,399.5299987792969,Sell,Hold
PG,2024-09-27,44.149204445459326,174.95234869778767,171.27336802933286,173.5500030517578,Hold,Hold
DIS,2024-09-27,89.74089356262061,96.2812860813992,92.00157045110637,96.01000213623048,Sell,Hold
WMT,2024-09-27,60.46312896682589,82.07757388017204,77.69385381932572,79.77999877929688,Hold,Hold
COST,2024-09-27,45.36144446516512,922.3543346750532,883.8799356932504,885.6199951171875,Hold,Hold
MCD,2024-09-27,76.00670260333926,306.7741616962724,292.60297453419633,303.69000244140625,Sell,Hold
NFLX,2024-09-27,65.07127106744406,727.3185517067396,693.6300218144657,707.3499755859375,Hold,Hold
TSLA,2024-09-27,81.79595805355754,266.66116265038164,235.66454710129247,260.4599914550781,Sell,Hold
UBER,2024-09-27,65.18629094319283,78.4551755608579,73.2448257470383,75.75,Hold,Hold
CAN,2024-09-27,60.43613140278679,1.1463164160452253,0.8593978471895942,1.059999942779541,Hold,Hold
LOW,2024-09-27,92.36298961536886,269.3177741917619,258.45080665366226,267.1400146484375,Sell,Hold
NKE,2024-09-27,87.15459059687588,92.62010736605296,81.09132059502406,89.44000244140625,Sell,Hold
PYPL,2024-09-27,73.65501762843027,80.06186026796334,75.84099574138375,77.87999725341797,Sell,Hold
SBUX,2024-09-27,65.2818911827363,98.40925176363265,93.97075093935283,97.36000061035156,Hold,Hold
TJX,2024-09-27,52.35487642131986,118.6338318600751,116.99759644977422,117.5,Hold,Hold
BKNG,2024-09-27,90.09821482365264,4337.7056589790045,3961.980166913853,4248.10009765625,Sell,Hold
FDX,2024-09-27,40.45108032589063,298.18308315667053,238.55977137039426,267.54998779296875,Hold,Hold
PEP,2024-09-27,21.58229349326963,174.74505454303088,167.24351444413432,170.0,Buy,Hold
KO,2024-09-27,49.4382231162901,72.21057223827596,70.63514396568608,71.79000091552734,Hold,Hold
MDLZ,2024-09-27,34.80885867838245,74.84247915376838,73.8346623082852,74.19999694824219,Hold,Hold
CVS,2024-09-27,75.92399761369683,61.29336195876046,56.01806665626465,61.380001068115234,Sell,Sell
XOM,2024-09-27,51.8300889739587,118.64126373750054,112.52159331816353,115.81999969482422,Hold,Hold
CVX,2024-09-27,62.28113757190704,149.18657953647224,141.41627778077108,145.49000549316406,Hold,Hold
COP,2024-09-27,47.96861312403114,113.69142825156283,101.10286147360458,104.72000122070312,Hold,Hold
JPM,2024-09-27,39.14688236498296,212.06158726105267,209.38698190049868,210.5,Hold,Hold
BAC,2024-09-27,49.306933086372375,40.96875066620106,38.63982106754615,39.400001525878906,Hold,Hold
WFC,2024-09-27,54.615931994613724,57.47790460339694,53.16781029266892,55.900001525878906,Hold,Hold
AXP,2024-09-27,73.2994217400192,271.5459059664863,264.63408670929493,271.0599975585937,Sell,Hold
GS,2024-09-27,56.13277710789383,505.1710212815784,490.33183865145725,498.510009765625,Hold,Hold
SPGI,2024-09-27,46.69494658597809,528.3089624029938,507.7824508224525,512.719970703125,Hold,Hold
SCHW,2024-09-27,58.382884376464254,65.62224072942425,63.509188670338574,64.41999816894531,Hold,Hold
C,2024-09-27,58.98225563520568,63.57889520157301,60.15539042551962,61.869998931884766,Hold,Hold
VOO,2024-09-27,82.7439178625477,528.1007624724884,523.1363678288508,525.3800048828125,Sell,Hold
MS,2024-09-27,73.03809662130719,105.30088414457819,100.21340244163832,104.11000061035156,Sell,Hold
IWM,2024-09-27,73.2444026209897,224.63144820574314,216.5971284544131,220.3300018310547,Sell,Hold
BX,2024-09-27,75.39335938956691,161.36374726306275,151.12768601679215,154.94000244140625,Sell,Hold
JNJ,2024-09-27,30.28007545068849,165.7525250024982,159.49604939063795,161.39999389648438,Hold,Hold
UNH,2024-09-27,39.64849955232071,581.7029451435559,570.7656130316674,581.8499755859375,Hold,Sell
MRK,2024-09-27,42.022268177822696,118.39715452992485,112.03141689864657,113.69000244140624,Hold,Hold
LLY,2024-09-27,39.35307203159465,945.9281107753995,880.114735904288,877.7899780273438,Hold,Buy
ABBV,2024-09-27,45.935147443371214,195.60877128448007,190.78550710558696,194.7899932861328,Hold,Hold
PFE,2024-09-27,45.42857578822545,29.8265950373102,28.71054758005169,29.09000015258789,Hold,Hold
ABT,2024-09-27,32.964232843293345,115.15790171849183,111.63352589381286,112.43000030517578,Hold,Hold
AMGN,2024-09-27,46.79550909086532,347.00473808943144,308.5638392682694,322.6700134277344,Hold,Hold
PM,2024-09-27,24.457768142919026,122.06158199618143,119.64984596489559,120.62000274658205,Buy,Hold
BMY,2024-09-27,63.524141146490926,51.4700382553202,48.6328179720096,50.90999984741211,Hold,Hold
MDT,2024-09-27,39.34424794256697,89.93676395988125,89.08894927951609,89.31999969482422,Hold,Hold
NVO,2024-09-27,35.27080914083777,135.07624053364555,117.3637619077607,120.76000213623048,Hold,Hold
SYK,2024-09-27,46.45378817929393,368.15058998198646,357.13797551745546,360.2699890136719,Hold,Hold
ELV,2024-09-27,31.037163701619303,545.4389949288145,512.7981528111409,523.9500122070312,Hold,Hold
TMO,2024-09-27,46.33968705039186,626.4262256254058,599.2023492908888,614.4199829101562,Hold,Hold
UNP,2024-09-27,39.81674135182008,250.10802151823557,241.24626576552558,244.22000122070312,Hold,Hold
RTX,2024-09-27,46.25118675646643,121.80405952969339,117.8787974387776,120.38999938964844,Hold,Hold
DHR,2024-09-27,52.98907157701717,279.9404861578365,267.6766577456233,275.44000244140625,Hold,Hold
