Ticker,Date,Open,High,Low,Close,Volume,RSI
AMZN,2024-09-16,185.2899932861328,185.80999755859375,183.36000061035156,184.88999938964844,26065500,63.38413467160972
AMZN,2024-09-17,186.85000610351562,189.4499969482422,186.13999938964844,186.8800048828125,26091700,64.96955213652967
AMZN,2024-09-18,186.4499969482422,188.8000030517578,185.05999755859375,186.42999267578125,34448100,67.72509130526119
AMZN,2024-09-19,190.0399932861328,190.99000549316406,188.47000122070312,189.8699951171875,39543200,69.20579047820316
AMZN,2024-09-20,190.22999572753906,191.83999633789062,187.41000366210938,191.60000610351562,100378600,65.76034318300475
AMZN,2024-09-23,191.63999938964844,194.4499969482422,190.57000732421875,193.8800048828125,36993100,71.19499098194775
AMZN,2024-09-24,194.27000427246094,195.3699951171875,190.1300048828125,193.9600067138672,43478900,76.61934017504082
AMZN,2024-09-25,193.75,193.9499969482422,192.16000366210938,192.52999877929688,26391100,70.55022821758956
V,2024-09-16,288.04998779296875,290.8999938964844,287.739990234375,290.4800109863281,4458900,83.08777538397388
V,2024-09-17,290.8999938964844,293.07000732421875,290.0799865722656,291.55999755859375,5135700,83.67811126202236
V,2024-09-18,291.8399963378906,292.0199890136719,288.1300048828125,288.4800109863281,5890000,79.68610720521946
V,2024-09-19,291.0899963378906,291.4800109863281,282.8699951171875,285.239990234375,10382100,67.84312356637079
V,2024-09-20,285.5,287.0,283.25,284.7699890136719,27810900,64.47277235792022
V,2024-09-23,284.8999938964844,288.8800048828125,284.6199951171875,288.6300048828125,6505600,66.42787226536686
V,2024-09-24,280.17999267578125,281.0,272.7099914550781,272.7799987792969,13690200,41.35845246312547
V,2024-09-25,274.19000244140625,274.25,268.2300109863281,269.6300048828125,11671300,40.20485142220247
MA,2024-09-16,495.29998779296875,498.32000732421875,493.3900146484375,497.7099914550781,1589200,74.92318724235338
MA,2024-09-17,498.6000061035156,501.739990234375,497.8500061035156,500.989990234375,2202800,76.60660593137237
MA,2024-09-18,501.2799987792969,501.79998779296875,494.0400085449219,494.760009765625,2193800,72.11947126409747
MA,2024-09-19,500.0,501.1300048828125,486.25,493.010009765625,3517200,63.67302944722546
MA,2024-09-20,489.6499938964844,493.5299987792969,487.739990234375,492.739990234375,3470200,61.090120392393224
MA,2024-09-23,493.1600036621094,497.69000244140625,491.29998779296875,497.1400146484375,2191300,66.48375791741242
MA,2024-09-24,492.67999267578125,493.25,484.4200134277344,487.4100036621094,4143700,53.93401978607912
MA,2024-09-25,484.760009765625,489.8999938964844,483.5400085449219,489.45001220703125,3483200,61.963209821665835
HD,2024-09-16,382.0,384.0,379.5299987792969,382.010009765625,2877800,61.39944181179508
HD,2024-09-17,383.42999267578125,387.94000244140625,381.67999267578125,383.239990234375,2947600,62.58757761129058
HD,2024-09-18,384.0899963378906,392.6700134277344,381.07000732421875,384.010009765625,3549400,64.06559754160897
HD,2024-09-19,390.8399963378906,391.8699951171875,387.010009765625,390.3399963378906,3753500,78.431827109934
HD,2024-09-20,388.3299865722656,391.8299865722656,387.0,389.8599853515625,6584200,76.71331062709817
HD,2024-09-23,390.8299865722656,392.6499938964844,387.260009765625,391.9599914550781,2502300,85.51666798070514
HD,2024-09-24,394.70001220703125,401.1099853515625,393.6300048828125,400.6600036621094,4057700,88.32793832793833
HD,2024-09-25,400.6600036621094,400.6600036621094,395.6199951171875,396.92999267578125,2787300,86.64848537792064
PG,2024-09-16,174.7100067138672,177.30999755859375,174.32000732421875,177.24000549316406,6892300,72.3559443168845
PG,2024-09-17,176.6300048828125,176.97000122070312,175.36000061035156,175.8800048828125,4757100,67.23871975217733
PG,2024-09-18,175.0500030517578,175.89999389648438,172.57000732421875,173.9199981689453,5102900,61.57143843255792
PG,2024-09-19,172.8800048828125,173.16000366210938,170.3800048828125,171.5399932861328,8692000,53.36902116962322
PG,2024-09-20,171.50999450683594,174.5399932861328,171.5,174.22000122070312,28647500,55.682798402162895
PG,2024-09-23,174.00999450683594,175.19000244140625,172.58999633789062,173.77000427246094,10265000,48.218526282826346
PG,2024-09-24,172.8800048828125,174.5,172.6199951171875,173.24000549316406,5422400,43.4158692940996
PG,2024-09-25,174.07000732421875,174.67999267578125,172.05999755859375,172.25999450683594,8916500,42.265049750969396
DIS,2024-09-16,91.0999984741211,92.37000274658203,90.94999694824219,91.8499984741211,9028600,55.24860015410528
DIS,2024-09-17,92.37000274658203,93.25,92.16999816894531,92.86000061035156,8193100,59.741541121732766
DIS,2024-09-18,93.5199966430664,94.06999969482422,92.69000244140625,93.58000183105469,10289800,71.82498809179697
DIS,2024-09-19,94.81999969482422,95.29000091552734,93.31999969482422,93.44999694824219,10912400,69.82568760066553
DIS,2024-09-20,93.19999694824219,94.01000213623047,92.81999969482422,93.75,19251500,68.91132702489098
DIS,2024-09-23,93.69999694824219,93.69999694824219,92.16000366210938,92.97000122070312,7338700,72.7488115243494
DIS,2024-09-24,93.33999633789062,93.79000091552734,92.45999908447266,93.69000244140625,7860300,74.55751241463358
DIS,2024-09-25,93.63999938964844,94.44000244140625,93.3499984741211,93.91999816894531,8408200,80.3921171775659
WMT,2024-09-16,80.83999633789062,81.0199966430664,80.13999938964844,80.55999755859375,15346400,87.35244584481066
WMT,2024-09-17,79.76000213623047,80.26000213623047,78.26000213623047,78.5999984741211,21065900,65.65273391493369
WMT,2024-09-18,78.63999938964844,79.41000366210938,78.27999877929688,79.02999877929688,15684900,67.83552251638889
WMT,2024-09-19,79.05000305175781,79.08999633789062,77.48999786376953,78.04000091552734,21525700,59.08072698160992
